Time,Date,North
08:59:41,27-07-2022,0.5700000002980232
09:59:41,27-07-2022,0.5659999996423721
10:59:41,27-07-2022,0.5530000003054738
11:59:41,27-07-2022,0.5640000002458692
12:59:41,27-07-2022,0.5690000001341105
13:59:41,27-07-2022,0.5669999998062849
14:59:41,27-07-2022,0.5700000002980232
15:59:41,27-07-2022,0.5650000004097819
16:59:41,27-07-2022,0.5740000000223517
17:59:41,27-07-2022,0.5619999999180436
18:59:41,27-07-2022,0.5650000004097819
19:59:41,27-07-2022,0.572999999858439
20:59:41,27-07-2022,0.572999999858439
21:59:41,27-07-2022,0.5920000001788139
22:59:41,27-07-2022,0.5889999996870756
23:59:41,27-07-2022,0.5760000003501773
00:59:41,28-07-2022,0.5659999996423721
01:59:41,28-07-2022,0.5700000002980232
02:59:41,28-07-2022,0.572999999858439
03:59:41,28-07-2022,0.5700000002980232
04:59:41,28-07-2022,0.5769999995827675
05:59:41,28-07-2022,0.5719999996945262
06:59:41,28-07-2022,0.572999999858439
07:59:41,28-07-2022,0.5700000002980232
08:59:41,28-07-2022,0.5719999996945262
18:59:41,07-11-2022,0.5839999997988343
19:59:41,07-11-2022,0.5880000004544854
20:59:41,07-11-2022,0.5889999996870756
21:59:41,07-11-2022,0.5849999999627471
22:59:41,07-11-2022,0.5829999996349216
23:59:41,07-11-2022,0.5880000004544854
00:59:41,08-11-2022,0.5889999996870756
01:59:41,08-11-2022,0.5870000002905726
02:59:41,08-11-2022,0.5860000001266599
03:59:41,08-11-2022,0.5889999996870756
04:59:41,08-11-2022,0.5849999999627471
05:59:41,08-11-2022,0.5870000002905726
06:59:41,08-11-2022,0.5870000002905726
07:59:41,08-11-2022,0.5860000001266599
08:59:41,08-11-2022,0.5870000002905726
09:15:31,08-11-2022,0.5839999997988343
10:59:41,08-11-2022,0.5740000000223517
11:59:41,08-11-2022,0.5889999996870756
12:59:41,08-11-2022,0.5769999995827675
13:59:41,08-11-2022,0.5870000002905726
14:12:48,08-11-2022,0.5779999997466803
15:59:41,08-11-2022,0.5870000002905726
16:59:41,08-11-2022,0.5829999996349216
17:59:41,08-11-2022,0.5839999997988343
18:59:41,08-11-2022,0.5810000002384186
20:59:41,14-07-2022,0.5810000002384186
21:59:41,14-07-2022,0.5889999996870756
22:59:41,14-07-2022,0.578999999910593
23:59:41,14-07-2022,0.5719999996945262
00:59:41,15-07-2022,0.5700000002980232
01:59:41,15-07-2022,0.572999999858439
02:59:41,15-07-2022,0.5829999996349216
03:59:41,15-07-2022,0.5829999996349216
04:59:41,15-07-2022,0.578999999910593
05:59:41,15-07-2022,0.5690000001341105
06:59:41,15-07-2022,0.571000000461936
07:59:41,15-07-2022,0.5800000000745058
08:59:41,15-07-2022,0.5719999996945262
09:59:41,15-07-2022,0.5580000001937151
10:59:41,15-07-2022,0.5650000004097819
11:59:41,15-07-2022,0.5719999996945262
12:59:41,15-07-2022,0.5669999998062849
13:59:41,15-07-2022,0.5760000003501773
